import time: self [us] | cumulative | imported package
import time:      1311 |       1311 |                   ipaddress
import time:      1313 |       3219 |                 urllib.parse
import time:       778 |        778 |                   _pyrepl
import time:      2034 |       2811 |                 _pyrepl.pager
import time:     20072 |      26865 |               pydoc
import time:      1193 |      28057 |             scipy._lib._docscrape
import time:      1068 |     136044 |           scipy._lib._array_api
import time:       441 |        441 |             scipy.signal._sigtools
import time:       404 |        404 |                 scipy._lib.doccer
import time:      1152 |       1152 |                     scipy.linalg._fblas
import time:        88 |         88 |                     scipy.linalg._cblas
import time:       433 |       1673 |                   scipy.linalg.blas
import time:      1241 |       1241 |                     scipy.linalg._flapack
import time:        89 |         89 |                     scipy.linalg._clapack
import time:       889 |       2218 |                   scipy.linalg.lapack
import time:       533 |       4423 |                 scipy.linalg._misc
import time:      1581 |       1581 |                   scipy.linalg.cython_lapack
import time:      1089 |       1089 |                   scipy._lib._util
import time:      1574 |       4243 |                 scipy.linalg._cythonized_array_utils
import time:      3918 |       3918 |                   scipy.linalg._decomp
import time:      1913 |       1913 |                   scipy.linalg._decomp_svd
import time:       555 |        555 |                   scipy.linalg._solve_toeplitz
import time:       557 |        557 |                   scipy.linalg._batched_linalg
import time:      3153 |      10094 |                 scipy.linalg._basic
import time:       532 |        532 |                   scipy.linalg._decomp_lu_cython
import time:       931 |       1462 |                 scipy.linalg._decomp_lu
import time:       907 |        907 |                 scipy.linalg._decomp_ldl
import time:      1243 |       1243 |                 scipy.linalg._decomp_cholesky
import time:      1256 |       1256 |                 scipy.linalg._decomp_qr
import time:      1241 |       1241 |                 scipy.linalg._decomp_qz
import time:      1060 |       1060 |                 scipy.linalg._decomp_schur
import time:       581 |        581 |                 scipy.linalg._decomp_polar
import time:       379 |        379 |                   scipy._lib.deprecation
import time:       832 |        832 |                   scipy.linalg._expm_frechet
import time:       693 |        693 |                   scipy.linalg._matfuncs_schur_sqrtm
import time:       620 |        620 |                   scipy.linalg._matfuncs_expm
import time:       448 |        448 |                   scipy.linalg._linalg_pythran
import time:      2144 |       5114 |                 scipy.linalg._matfuncs
import time:      1236 |       1236 |                 scipy.linalg._special_matrices
import time:      1133 |       1133 |                 scipy.linalg._solvers
import time:       960 |        960 |                 scipy.linalg._procrustes
import time:       832 |        832 |                   scipy.linalg.cython_blas
import time:      2499 |       3331 |                 scipy.linalg._decomp_update
import time:      1002 |       1002 |                 scipy.linalg._sketches
import time:       435 |        435 |                 scipy.linalg._decomp_cossin
import time:       309 |        309 |                 scipy.linalg.decomp
import time:       299 |        299 |                 scipy.linalg.decomp_cholesky
import time:       294 |        294 |                 scipy.linalg.decomp_lu
import time:       293 |        293 |                 scipy.linalg.decomp_qr
import time:       293 |        293 |                 scipy.linalg.decomp_svd
import time:       312 |        312 |                 scipy.linalg.decomp_schur
import time:       303 |        303 |                 scipy.linalg.basic
import time:       294 |        294 |                 scipy.linalg.misc
import time:       299 |        299 |                 scipy.linalg.special_matrices
import time:       335 |        335 |                 scipy.linalg.matfuncs
import time:       625 |        625 |                 scipy.special._sf_error
import time:       493 |        493 |                   scipy.special._ufuncs_cxx
import time:       433 |        433 |                   scipy.special._ellip_harm_2
import time:       821 |        821 |                   scipy.special._special_ufuncs
import time:       523 |        523 |                   scipy.special._gufuncs
import time:      1193 |       3461 |                 scipy.special._ufuncs
import time:       307 |        307 |                   scipy.special._input_validation
import time:       569 |        569 |                   scipy.special._specfun
import time:       382 |        382 |                   scipy.special._comb
import time:       652 |       1908 |                 scipy.special._basic
import time:       313 |        313 |                   scipy.special._spfun_stats
import time:     27187 |      27500 |                 scipy.special._support_alternative_backends
import time:      1561 |       1561 |                 scipy.special._logsumexp
import time:       554 |        554 |                 scipy.special._multiufuncs
import time:       618 |        618 |                 scipy.special._orthogonal
import time:       381 |        381 |                 scipy.special._ellip_harm
import time:       398 |        398 |                 scipy.special._lambertw
import time:       404 |        404 |                 scipy.special._spherical_bessel
import time:       312 |        312 |                 scipy.special.add_newdocs
import time:       329 |        329 |                 scipy.special.basic
import time:       323 |        323 |                 scipy.special.orthogonal
import time:       298 |        298 |                 scipy.special.specfun
import time:       289 |        289 |                 scipy.special.sf_error
import time:       287 |        287 |                 scipy.special.spfun_stats
import time:       370 |        370 |                     uarray
import time:       486 |        486 |                         scipy._lib._uarray._uarray
import time:       665 |       1150 |                       scipy._lib._uarray._backend
import time:       353 |       1502 |                     scipy._lib._uarray
import time:       324 |       2195 |                   scipy._lib.uarray
import time:      8372 |      10566 |                 scipy.fft._basic
import time:      3774 |       3774 |                 scipy.fft._realtransforms
import time:       804 |        804 |                   scipy.fft._fftlog_backend
import time:      1635 |       2439 |                 scipy.fft._fftlog
import time:       613 |        613 |                       scipy.fft._pocketfft.pypocketfft
import time:       574 |        574 |                       scipy.fft._pocketfft.helper
import time:       559 |       1745 |                     scipy.fft._pocketfft.basic
import time:       338 |        338 |                     scipy.fft._pocketfft.realtransforms
import time:       408 |       2490 |                   scipy.fft._pocketfft
import time:      1748 |       4238 |                 scipy.fft._helper
import time:       334 |        334 |                   scipy.fft._basic_backend
import time:       307 |        307 |                   scipy.fft._realtransforms_backend
import time:      1204 |       1845 |                 scipy.fft._backend
import time:     11232 |     116475 |               scipy.signal.windows._windows
import time:       468 |        468 |               scipy.signal.windows.windows
import time:       427 |     117368 |             scipy.signal.windows
import time:       398 |        398 |             scipy.signal._waveforms
import time:       512 |        512 |               scipy.signal._max_len_seq_inner
import time:       372 |        883 |             scipy.signal._max_len_seq
import time:       475 |        475 |               scipy.signal._upfirdn_apply
import time:       368 |        842 |             scipy.signal._upfirdn
import time:       385 |        385 |             scipy.signal._spline
